"","Sites","sitesplit","Years","yrsplit","Genus_Code","s.int","s.slp"
"73","HAW_OCC_003","16-19","HAW_OCC_003","16-19","POSP",-2.32616096436598,0.869656386644625
"74","HAW_OCC_010","16-19","HAW_OCC_010","16-19","POSP",-2.30909934340315,0.894644535509424
"75","HAW_SIO_K08","15-17","HAW_SIO_K08","15-17","POSP",-1.85199133790116,0.392924837360147
"76","HAW_SIO_K08","17-19","HAW_SIO_K08","17-19","POSP",1.56754210949014,-0.0131262013200756
"77","HAW_SIO_K08","15-19","HAW_SIO_K08","15-19","POSP",14.5660677766343,1.06009645506333e-11
"78","HAW_SIO_K10","15-17","HAW_SIO_K10","15-17","POSP",-1.39458069143693,0.330739832117633
"79","HAW_SIO_K10","15-19","HAW_SIO_K10","15-19","POSP",14.9222024879002,NA
"80","HAW_SIO_K10","17-19","HAW_SIO_K10","17-19","POSP",1.47224315079422,0.118920020889601
"81","KUR_OCC_010","16-19","KUR_OCC_010","16-19","POSP",-1.06914144697904,0.170128041490765
"82","MAI_OCC_002","16-19","MAI_OCC_002","16-19","POSP",1.03975004965585,-0.166302441340953
"83","MAI_SIO_K02","17-18","MAI_SIO_K02","17-18","POSP",1.26844300182656,0.0723244467377592
"84","MAI_SIO_K02","16-17","MAI_SIO_K02","16-17","POSP",1.06995081731492,0.149568953473277
"85","MAI_SIO_K02","15-17","MAI_SIO_K02","15-17","POSP",15.6956469885729,NA
"86","MAI_SIO_K02","15-16","MAI_SIO_K02","15-16","POSP",0.420424558644684,0.0287958170640749
"87","MAI_SIO_K02","14-16","MAI_SIO_K02","14-16","POSP",16.4439817943364,NA
"88","MAI_SIO_K02","14-15","MAI_SIO_K02","14-15","POSP",-2.01247618149792,1.3411673589685
"89","All",NA,"All",NA,"POCS",-0.169943500406984,0.260281657675584
"90","All",NA,"All",NA,"POCS",-0.169943500406984,0.260281657675584
"91","MAI_SIO_K01",NA,"All_Years",NA,"POCS",-2.49601822211446,0.786280708442141
"92","FFS_OCC_002",NA,"All_Years",NA,"POCS",-19.5660685185244,1.39084299632941e-11
"93","FFS_OCC_014",NA,"All_Years",NA,"POCS",2.01952107300312,-0.461590728052468
"94","HAW_OCC_002",NA,"All_Years",NA,"POCS",-0.350273668347478,-0.3623879130964
"95","HAW_OCC_003",NA,"All_Years",NA,"POCS",19.5660685114262,-4.2229775232272e-11
"96","HAW_OCC_010",NA,"All_Years",NA,"POCS",NA,NA
"97","HAW_SIO_K08",NA,"All_Years",NA,"POCS",-19.5660685185475,3.81528142412435e-12
"98","HAW_SIO_K10",NA,"All_Years",NA,"POCS",-23.1934399664246,NA
"99","KUR_OCC_010",NA,"All_Years",NA,"POCS",19.5660685203472,2.27221574888858e-11
"100","MAI_OCC_002",NA,"All_Years",NA,"POCS",3.27232654200291,-0.545257114610989
"101","MAI_SIO_K02",NA,"All_Years",NA,"POCS",-0.984258561299282,0.958222599175929
"102","All_Sites",NA,"14-15",NA,"POCS",18.5660684897252,4.49210041924208e-09
"103","All_Sites",NA,"15-16",NA,"POCS",-57.8674409667556,14.0774605750234
"104","All_Sites",NA,"16-18",NA,"POCS",290.924944101775,-66.675719950248
"105","All_Sites",NA,"13-16",NA,"POCS",-18.5660685098787,8.56998659606395e-12
"106","All_Sites",NA,"16-19",NA,"POCS",0.150132559056463,0.244014177797441
"107","All_Sites",NA,"15-17",NA,"POCS",-18.5660685098749,1.93533950078908e-12
"108","All_Sites",NA,"17-18",NA,"POCS",18.5660685155407,-1.76698249248693e-09
"109","All_Sites",NA,"16-17",NA,"POCS",18.5660684865941,NA
"110","MAI_SIO_K01","14-15","MAI_SIO_K01","14-15","POCS",20.5660664248617,4.80222238179571e-07
"111","MAI_SIO_K01","15-16","MAI_SIO_K01","15-16","POCS",-69.8262981737207,16.986701731079
"112","MAI_SIO_K01","16-18","MAI_SIO_K01","16-18","POCS",322.264368053579,-73.8582551610187
"113","FFS_OCC_002","13-16","FFS_OCC_002","13-16","POCS",-20.5660685216726,-1.32352834974213e-11
"114","FFS_OCC_002","16-19","FFS_OCC_002","16-19","POCS",-20.566068521724,1.61546094863103e-11
"115","FFS_OCC_014","16-19","FFS_OCC_014","16-19","POCS",2.01952107300312,-0.461590728052473
"116","HAW_OCC_002","16-19","HAW_OCC_002","16-19","POCS",-0.350273668347509,-0.362387913096402
"117","HAW_OCC_003","16-19","HAW_OCC_003","16-19","POCS",20.5660684839943,8.76004792890577e-09
"118","HAW_OCC_010","16-19","HAW_OCC_010","16-19","POCS",NA,NA
"119","HAW_SIO_K08","15-17","HAW_SIO_K08","15-17","POCS",-20.5660685216841,-1.52607277508897e-12
"120","HAW_SIO_K10","15-17","HAW_SIO_K10","15-17","POCS",-20.5660707371184,NA
"121","KUR_OCC_010","16-19","KUR_OCC_010","16-19","POCS",20.5660685393492,-4.58092646388689e-11
"122","MAI_OCC_002","16-19","MAI_OCC_002","16-19","POCS",3.27232654200288,-0.545257114610992
"123","MAI_SIO_K02","17-18","MAI_SIO_K02","17-18","POCS",20.566068521859,3.62660253689352e-09
"124","MAI_SIO_K02","16-17","MAI_SIO_K02","16-17","POCS",20.5660662095613,NA
"125","MAI_SIO_K02","15-16","MAI_SIO_K02","15-16","POCS",-49.1736345039881,11.7868147466312
"126","MAI_SIO_K02","14-15","MAI_SIO_K02","14-15","POCS",20.5660685058356,4.57135790401375e-09
